,index,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardAnnualDividendRate,ForwardAnnualDividendYield,ForwardPE,FullTimeEmployees,GrossProfitTTM,Industry,LastSplitDate,LastSplitFactor,LatestQuarter,MarketCapitalization,Name,OperatingMarginTTM,PEGRatio,PERatio,PayoutRatio,PercentInsiders,PercentInstitutions,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesFloat,SharesOutstanding,SharesShort,SharesShortPriorMonth,ShortPercentFloat,ShortPercentOutstanding,ShortRatio,Symbol,TrailingPE,ticker
0,0,55.882,55.5685,59.8977,26.7399,"17450 College Parkway, Livonia, MI, United States, 48152",65.56,Common Stock,1.3377,0.541,USA,USD,"Masco Corporation designs, manufactures, and distributes home improvement and building products in North America, Europe, and internationally. The company operates through two segments, Plumbing Products and Decorative Architectural Products. The Plumbing Products segment offers faucets, showerheads, handheld showers, valves, bath hardware and accessories, bathing units, shower bases and enclosures, toilets, acrylic tubs, shower trays, spas, exercise pools, and fitness systems; brass, copper, and composite plumbing system components; thermoplastic extrusions, extruded plastic profiles, specialized fabrications, and PEX tubing products; and other non-decorative plumbing products. This segment provides its products under the DELTA, BRIZO, PEERLESS, HANSGROHE, AXOR, GINGER, NEWPORT BRASS, BRASSTECH, WALTEC, BRISTAN, HERITAGE, MIROLIN, HPPE, HOT SPRING, CALDERA, FREEFLOW SPAS, FANTASY SPAS, ENDLESS POOLS, BRASSCRAFT, PLUMB SHOP, COBRA, COBRA PRO, and MASTER PLUMBER brands. The Decorative Architectural Products segment offers paints, primers, specialty coatings, stains, and waterproofing products; cabinet and door hardware, functional hardware, wall plates, hook and rail products, and picture hanging accessories; decorative bath hardware, and shower accessories and doors; and decorative indoor and outdoor lighting fixtures, ceiling fans, landscape lighting, and LED lighting systems. This segment provides its products under the BEHR, KILZ, LIBERTY, BRAINERD, FRANKLIN BRASS, KICHLER, and LAN brands. It sells its products to the plumbing, heating, and hardware wholesalers; home centers and online retailers; hardware stores; electrical and landscape distributors; lighting showrooms; building supply outlets; and other mass merchandisers. Masco Corporation was founded in 1929 and is headquartered in Livonia, Michigan.",5.468,2021-02-08,0.56,0.0103,1375000064,5.468,13.6227,2.3914,2021-01-07,NYSE,December,0.56,0.0103,18.2482,22000,2371000000,Building Products & Equipment,2015-07-01,1138:1000,2020-09-30,14211623936,Masco Corporation,0.1742,1.5338,9.9323,0.191,0.775,95.154,106.7489,2.2291,0.2127,1.435,0.156,0.1368,4.5165,25.9,6967000064,Industrials,259168845,261676000,4645733,5469245,0.0204,0.02,2.19,MAS,9.9323,MAS
0,0,238.4628,253.133,268.91,113.7435,"1201 South Second Street, Milwaukee, WI, United States, 53204",252.95,Common Stock,1.3692,13.41,USA,USD,"Rockwell Automation, Inc. provides industrial automation and digital transformation solutions. The company operates in two segments, Architecture & Software, and Control Products & Solutions. The Architecture & Software segment offers a portfolio of automation and information platforms, including hardware and software. Its products include programmable automation controllers; design, visualization, and simulation software; and human machine interface products, networking products, industrial computers, sensing devices, machine safety devices, motion control products, and independent cart technology products. This segment also offers manufacturing execution system and analytics software to enhance operational productivity and meet regulatory requirements. The Control Products & Solutions segment provides low and medium voltage electro-mechanical and electronic motor starters, AC/DC variable frequency drives, motor control and circuit protection devices, operator and signaling devices, termination and protection devices, relays and timers, and electrical control accessories. This segment also offers pre-configured line and load power solutions, packaged drives, motor control centers, and intelligent packaged power and engineered to order automation equipment solutions; and professional lifecycle services, such as safety, security, and digital transformation consulting, as well as automation and information project delivery capabilities, plant network, cloud, cybersecurity, asset management and predictive analytics, and remote, on-site, and managed support services. The company primarily serves a range of industries, which include the automotive, semiconductor, and warehousing and logistics; food and beverage, and life sciences; and oil and gas, metals, and chemicals through independent distributors and direct sales force worldwide. Rockwell Automation, Inc. was founded in 1903 and is headquartered in Milwaukee, Wisconsin.",11.18,2020-12-10,4.28,0.0172,1217400064,11.18,17.2402,4.932,2020-11-13,NYSE,September,4.28,0.0172,28.49,23500,2595200000,Specialty Industrial Machinery,1987-04-14,2:1,2020-12-31,28868001792,"Rockwell Automation, Inc",0.1695,3.5614,22.2299,0.5195,0.179,80.063,18.5337,4.671,0.2103,0.902,-0.071,0.0861,0.8921,53.586,6210599936,Industrials,115858886,116155000,2151537,2138779,0.0207,0.02,3.8,ROK,22.2299,ROK
0,0,84.4614,106.8633,118.11,35.0666,"4205 River Green Parkway, Duluth, GA, United States, 30096",121.79,Common Stock,1.2185,37.513,USA,USD,"AGCO Corporation manufactures and distributes agricultural equipment and related replacement parts worldwide. It offers high horsepower tractors for row crop production, soil cultivation, planting, land leveling, seeding, and commercial hay operations; utility tractors for small- and medium-sized farms, as well as for dairy, livestock, orchards, and vineyards; and compact tractors for small farms, specialty agricultural industries, landscaping, equestrian, and residential uses. The company also provides grain storage bins and related drying and handling equipment systems; seed-processing systems; swine and poultry feed storage and delivery; ventilation and watering systems; and egg production systems and broiler production equipment. In addition, it offers round and rectangular balers, loader wagons, self-propelled windrowers, forage harvesters, disc mowers, spreaders, rakes, tedders, and mower conditioners for harvesting and packaging vegetative feeds used in the beef cattle, dairy, horse, and renewable fuel industries. Further, the company provides implements, including disc harrows leveling seed beds and mixing chemicals with the soils; heavy tillage to break up soil and mix crop residue into topsoil; field cultivators that prepare smooth seed bed and destroy weeds; drills for small grain seeding; planters and other planting equipment; and loaders. Additionally, it offers combines for harvesting grain crops, such as corn, wheat, soybeans, and rice; and application equipment, such as self-propelled, three- and four-wheeled vehicles, and related equipment for liquid and dry fertilizers and crop protection chemicals, and for after crops emerge from the ground, as well as produces diesel engines, gears, and generating sets. The company markets its products under the Challenger, Fendt, GSI, Massey Ferguson, and Valtra brands through a network of independent dealers and distributors. AGCO Corporation was founded in 1990 and is headquartered in Duluth, Georgia.",2.683,2021-03-15,0.64,0.0057,838300032,2.683,16.5111,1.0883,2021-02-12,NYSE,December,0.64,0.0057,18.7266,20961,1984300000,Farm & Heavy Construction Machinery,1996-02-01,2:1,2020-09-30,8306355200,AGCO Corporation,0.0639,1.6901,41.3343,0.128,17.535,82.918,3.0414,0.9667,0.0227,19.928,0.184,0.0446,0.0662,119.045,8946199552,Industrials,61793595,74899504,1333370,1256504,0.027,0.02,1.74,AGCO,41.3343,AGCO
0,0,190.3683,197.1688,210.66,116.0818,"545 Washington Boulevard, Jersey City, NJ, United States, 07310-1686",211.93,Common Stock,0.7852,14.877,USA,USD,"Verisk Analytics, Inc. provides data analytics solutions in the United States and internationally. It provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, natural resources intelligence, economic forecasting, commercial banking and finance, and various other fields. The company operates through three segments: Insurance, Energy and Specialized Markets, and Financial Services. The Insurance segment focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty customers. It also develops predictive models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The Energy and Specialized Markets segment provides data analytics for the natural resources value chain, including energy, chemicals, metals, mining, power, and renewables sectors; research and consulting services focusing on exploration strategies and screening, asset development and acquisition, commodity markets, and corporate analysis; and consultancy services in the areas of business environment, business improvement, business strategies, commercial advisory, and transaction support, as well as analysis and advice on assets, companies, governments, and markets. The Financial Services segment offers benchmarking, decisioning algorithms, business intelligence, and customized analytic services to financial institutions, payment networks and processors, alternative lenders, regulators, and merchants. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",4.029,2020-12-31,1.08,0.0058,1226899968,4.029,24.6639,12.0277,2020-12-14,NASDAQ,December,1.08,0.0058,34.3643,9060,1630300000,Consulting Services,None,None,2020-09-30,29835264000,"Verisk Analytics, Inc",0.3554,3.04,45.5448,0.2857,1.042,92.544,12.322,11.0644,0.2433,4.6,0.077,0.0904,0.2982,16.883,2748000000,Industrials,161024057,162590000,1356312,1399207,0.0095,0.01,2.08,VRSK,45.5448,VRSK
0,0,203.0962,243.1084,287.55,75.5,"S45 W29290 Highway 59, Waukesha, WI, United States, 53189",270.64,Common Stock,0.9086,19.576,USA,USD,"Generac Holdings Inc. designs, manufactures, and sells power generation equipment, energy storage systems, and other power products for the residential, and light commercial and industrial markets worldwide. The company offers engines, alternators, transfer switches, and other components fueled by natural gas, liquid propane, gasoline, diesel, and bi-fuel; and batteries and inverters. It also provides residential automatic standby generators ranging in output from 6kW to 60kW; air-cooled engine residential standby generators ranging from 6kW to 22kW; liquid-cooled engine generators with outputs ranging from 22kW to 150kW; Mobile Link, a remote monitoring system for home standby generators; and industrial diesel generators ranging in sizes up to 3,250kW. In addition, the company offers various portable generators ranging in size from 800W to 17.5kW; engine driven power washers; water pumps; outdoor power equipment, such as trimmers and brush mowers, log splitters, lawn and leaf vacuums, and chipper shredders; and clean energy solution under the PWRcell and PWRview brands. Further, it provides light towers, mobile generators, and flameless heaters; light-commercial standby generators ranging from 22kW to 150kW and related transfer switches providing three-phase power for small and mid-sized businesses; and industrial generators ranging in output from 10kW up to 3,250kW used as emergency backup for healthcare, telecom, datacom, commercial office, retail, municipal, and manufacturing markets. Additionally, the company sells aftermarket service parts and product accessories to dealers. It distributes its products through independent residential dealers, industrial distributors and dealers, national and regional retailers, e-commerce partners, electrical, HVAC and solar wholesalers, catalogs, equipment rental companies and distributors, and solar installers; and directly to end users. Generac Holdings Inc. was founded in 1959 and is headquartered in Waukesha, Wisconsin.",4.618,2013-06-21,None,0,487315008,4.618,34.2032,6.9279,2013-06-10,NYSE,December,0,0,33.7838,5412,797752000,Specialty Industrial Machinery,2010-02-10,1:3,2020-09-30,15485303808,Generac Holdings Inc,0.1811,6.7512,53.3608,0,1.612,93.276,12.5877,6.7735,0.1275,0.542,0.167,0.0941,0.2553,37.218,2315049984,Industrials,61786633,62841700,1727736,1973554,0.0316,0.03,2.25,GNRC,53.3608,GNRC
0,0,AAXN
0,0,22.8859,29.1259,52,9.06,"166 North Roadrunner Parkway, Las Cruces, NM, United States, 88011",30,Common Stock,None,None,USA,USD,"Virgin Galactic Holdings, Inc., an integrated aerospace company, develops human spaceflight for private individuals and researchers in the United States. It also manufactures air and space vehicles. The company's spaceship operations include commercial human spaceflight, flying commercial research, and development payloads into space. In addition, it engages in the design and development, manufacturing, ground and flight testing, and post-flight maintenance of spaceflight vehicles. Virgin Galactic Holdings, Inc. was founded in 2017 and is headquartered in Las Cruces, New Mexico.",0,None,None,None,None,-1.0852,0,2397.9728,None,NYSE,December,0,0,0,721,1777000,Aerospace & Defense,None,None,2020-09-30,10379006976,"Virgin Galactic Holdings, Inc",-358.7145,None,-99999.99,0,39.996,29.719,14.2913,3737.2553,0,0,-0.866,-0.332,-0.7018,0.004,767000,Industrials,132722198,234342000,38600590,40058172,0.5615,0.16,2.39,SPCE,0,SPCE
0,0,MMMXOM
0,0,83.4442,89.1273,106.562,49.4038,"6001 Bollinger Canyon Road, San Ramon, CA, United States, 94583-2324",104.3,Common Stock,1.3183,70.568,USA,USD,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, and production of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil and refined products; transporting crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing commodity petrochemicals, and fuel and lubricant additives, as well as plastics for industrial uses. Chevron Corporation is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California.",-2.964,2020-12-10,5.16,0.058,12743999488,2.055,11.7787,1.9472,2021-02-16,NYSE,December,5.16,0.058,30.03,48200,44204000000,Oil & Gas Integrated,2004-09-13,2:1,2020-12-31,164010852352,Chevron Corporation,-0.0714,0.7746,43.7692,4.0028,0.04,62.862,1.3279,1.6251,-0.0585,0.388,-0.27,-0.0131,-0.0401,50.637,94691999744,Energy,1866221727,1925010048,16049088,17401481,0.0083,0.01,1.5,CVX,43.7692,CVX
0,0,20.5645,22.6645,35.0004,14.4522,"1 St James's Square, London, United Kingdom, SW1Y 4PD",28.73,Common Stock,0.6951,20.136,USA,USD,"BP PLC engages in the energy business worldwide. It operates through three segments: Upstream, Downstream, and Rosneft. The Upstream segment is involved in the oil and natural gas exploration, and field development and production; midstream transportation, storage, and processing; and marketing and trading of liquefied natural gas (LNG), biogas, power, and natural gas liquids (NGLs). This segment also engages in the ownership and management of crude oil and natural gas pipelines; processing facilities and export terminals; and LNG processing facilities and transportation, as well as NGLs processing business. The Downstream segment refines, manufactures, markets, transports, supplies, and trades in crude oil, petroleum, and petrochemical products and related services to wholesale and retail customers. It offers gasoline, diesel, and aviation fuels; lubricants, and related products and services to the automotive, industrial, marine, and energy markets under the Castrol, BP, and Aral brands; and petrochemical products, such as purified terephthalic acid, paraxylene, acetic acid, olefins and derivatives, and specialty petrochemical products. The Rosneft segment engages in the exploration and production of hydrocarbons, as well as jet fuel, bunkering, bitumen, and lubricants activities. This segment also owns and operates 13 refineries in Russia; and approximately 3,000 retail service stations in Russia and internationally. The company also produces ethanol, bio-isobutanol, bio-power, and solar energy; transports hydrocarbon products through time-chartered and spot-chartered vessels; and holds interests in wind sites. BP PLC was founded in 1889 and is headquartered in London, the United Kingdom.",-6.42,2020-12-18,1.26,0.0567,17309999104,1.404,59.8885,0.6137,2020-11-05,NYSE,December,1.26,0.0567,13.7174,67600,45682000000,Oil & Gas Integrated,1999-10-04,2:1,2020-09-30,75799748608,BP p.l.c,-0.0305,0.25,20.6285,0,0.002,8.239,1.1087,0.3629,-0.1052,-0.977,-0.351,-0.0143,-0.2437,61.05,205806993408,Energy,3321331644,3390769920,10442504,7633793,0,0,0.7,BP,20.6285,BP
0,0,RDS
0,0,38.063,42.4694,58.789,20.1771,"925 North Eldridge Parkway, Houston, TX, United States, 77079-2703",54.96,Common Stock,1.864,28.696,USA,USD,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids worldwide. The company primarily engages in the conventional and tight oil reservoirs, shale gas, heavy oil, LNG, oil sands, and other production operations. Its portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; various LNG developments; oil sands assets in Canada; and an inventory of conventional and unconventional exploration prospects. The company was founded in 1917 and is headquartered in Houston, Texas.",-1.118,2020-12-01,1.72,0.043,6327000064,2.095,11.3239,2.9657,2020-10-16,NYSE,December,1.72,0.043,37.7358,9800,16182000000,Oil & Gas E&P,2012-05-01,1311791:10,2020-09-30,54225838080,ConocoPhillips,0.0477,-4.11,14.0273,0,0.04,75.964,1.7615,2.0679,-0.0563,-0.829,-0.451,0.0096,-0.0345,19.82,21475000320,Energy,1071443626,1354630016,49882293,41593279,0.0368,0.04,4.65,COP,14.0273,COP
0,0,61.2724,70.4667,88.5355,38.3817,"2331 CityWest Boulevard, Houston, TX, United States, 77042",79.53,Common Stock,1.6591,45.151,USA,USD,"Phillips 66 operates as an energy manufacturing and logistics company. It operates through four segments: Midstream, Chemicals, Refining, and Marketing and Specialties (M&S). The Midstream segment transports crude oil and other feedstocks; delivers refined products to market; provides terminaling and storage services for crude oil and petroleum products; transports, stores, fractionates, exports, and markets natural gas liquids; provides other fee-based processing services; and gathers, processes, transports, and markets natural gas. The Chemicals segment manufactures and markets ethylene and other olefin products; aromatics and styrenics products, such as benzene, cyclohexane, styrene, and polystyrene; and various specialty chemical products, including organosulfur chemicals, solvents, catalysts, and chemicals used in drilling and mining. The Refining segment refines crude oil and other feedstocks into petroleum products comprising gasolines, distillates, and aviation fuels at 13 refineries in the United States and Europe. The M&S segment purchases for resale and markets refined petroleum products consisting of gasolines, distillates, and aviation fuels primarily in the United States and Europe. It also manufactures and markets specialty products, such as petroleum coke products, waxes, solvents, and polypropylene. Phillips 66 was founded in 1875 and is headquartered in Houston, Texas.",-6.137,2020-12-01,3.6,0.0504,1322000000,0.827,35.4469,0.5778,2020-11-16,NYSE,December,3.6,0.0504,18.1159,14500,11764000000,Oil & Gas Refining & Marketing,None,None,2020-09-30,29615040512,Phillips 66,-0.0007,2.7658,92.4776,5.5385,0.338,68.59,1.5889,0.4124,-0.0351,-0.504,-0.415,-0.0006,-0.0976,174.225,76844998656,Energy,435716921,436800000,11637745,9631436,0.0267,0.03,3.45,PSX,92.4776,PSX
0,0,15.8142,19.6379,22.4195,4.2112,"3000 North Sam Houston Parkway East, Houston, TX, United States, 77032",22.22,Common Stock,2.8319,5.62,USA,USD,"Halliburton Company provides a range of services and products to oil and natural gas companies worldwide. The company's Completion and Production segment offers production enhancement services, including stimulation and sand control services; and cementing services, such as well bonding and casing, as well as provides casing equipment. It also provides completion tools that offer downhole solutions and services, including well completion products and services, intelligent well completions, liner hanger and sand control systems, and service tools; production solutions comprising coiled tubing, hydraulic workover units, and downhole tools; and pipeline and process services, such as pre-commissioning, commissioning, maintenance, and decommissioning. In addition, this segment offers oilfield completion, production, and downstream water and process treatment chemicals and services; and electrical submersible pumps, as well as artificial lift services. The company's Drilling and Evaluation segment provides drilling fluid systems, performance additives, completion fluids, solids control, specialized testing equipment, and waste management services; and drilling systems and services. It also offers wireline and perforating services, including open-hole logging, and cased-hole and slickline; and drill bits and services comprising roller cone rock bits, fixed cutter bits, hole enlargement, and related downhole tools and services, as well as coring equipment and services. In addition, this segment provides integrated exploration, drilling, and production software, as well as related professional and data management services; testing and subsea services, such as acquisition and analysis of reservoir information and optimization solutions; and project management and integrated asset management services. Halliburton Company was founded in 1919 and is based in Houston, Texas.",-3.343,2020-12-23,0.18,0.0099,1635000064,1.358,8.3133,1.6302,2020-12-02,NYSE,December,0.18,0.0099,21.4592,40000,1059000000,Oil & Gas Equipment & Services,2006-07-17,2:1,2020-12-31,15585042432,Halliburton Company,0.0399,1.4896,17.0103,0.4846,0.321,77.315,3.0711,1.0539,-0.2039,-0.321,-0.376,0.0157,-0.4523,16.396,14444999680,Energy,881061750,884006976,35010421,39843249,0.0446,0.04,3.26,HAL,0,HAL
0,0,10.149,11.2379,17.3516,7.55,"1550 Wewatta Street, Denver, CO, United States, 80202",15.28,Common Stock,1.4129,12.006,USA,USD,"Liberty Latin America Ltd., together with its subsidiaries, provides fixed, mobile, and subsea telecommunications services. It offers communications and entertainment services, including video, broadband Internet, fixed-line telephony, and mobile services to residential and business customers; and business products and services that include enterprise-grade connectivity, data center, hosting, and managed solutions, as well as information technology solutions for small and medium enterprises, international companies, and governmental agencies. The company also operates a sub-sea and terrestrial fiber optic cable network that connects approximately 40 markets. It provides its services in approximately 20 countries in Latin America, the Caribbean, Chile, and Costa Rica under the brands of C&W, VTR, Liberty Puerto Rico, Cabletica, BTC, UTS, Flow, and Mvil. Liberty Latin America Ltd. was founded in 2017 and is based in Denver, Colorado.",-3.367,None,None,0,1357200000,-2.334,13.6303,2.6097,None,NASDAQ,December,0,0,15.6006,10000,2977800000,Telecom Services,2020-09-11,1061:1000,2020-09-30,2340940544,Liberty Latin America Ltd,0.1345,3.61,None,0,6.94,75.659,1.0128,0.6353,-0.1691,0,-0.082,0.0218,-0.1971,19.908,3641999872,Communication Services,182663289,48992000,750880,604755,0.0178,0,2.26,LILA,0,LILA
0,0,65.4594,68.8212,74.89,41.85,"135 Duryea Road, Melville, NY, United States, 11747",74.21,Common Stock,0.8241,22.149,USA,USD,"Henry Schein, Inc., a solutions company for health care professionals, provides health care products and services to office-based dental practitioners and laboratories, physician practices, government, institutional health care clinics, and other alternate care clinics worldwide. It operates in two segments, Health Care Distribution, and Technology and Value-Added Services. The Health Care Distribution segment offers dental products, including infection-control products, handpieces, preventatives, impression materials, composites, anesthetics, teeth, dental implants, gypsum, acrylics, articulators, abrasives, dental chairs, delivery units and lights, X-ray supplies and equipment, and high-tech and digital restoration equipment, as well as equipment repair services. This segment also provides medical products comprising branded and generic pharmaceuticals, vaccines, surgical products, diagnostic tests, infection-control products, X-ray products, equipment, and vitamins. The Technology and Value-Added Services segment offers software, technology, and other value-added services that include practice management software systems for dental and medical practitioners. This segment also provides value-added practice solutions, which comprise financial services on a non-recourse basis, e-services, practice technology, network, and hardware services, as well as continuing education services for practitioners. Henry Schein, Inc. was founded in 1932 and is headquartered in Melville, New York.",4.089,None,None,0,766486976,4.089,13.7303,1.0667,None,NASDAQ,December,0,0,17.3611,19000,3090886000,Medical Distribution,2019-02-08,1275:1000,2020-09-30,9401799680,"Henry Schein, Inc",0.06,2.1377,16.1042,0,1.372,98.117,2.9797,0.9875,0.0614,0.044,0.132,0.0484,0.1556,67.158,9622356992,Healthcare,141081405,142768000,5147926,4628927,0.0469,0.04,6.92,HSIC,16.1042,HSIC
0,0,90.8163,90.0924,110.37,62.48,"1801 Augustine Cut-Off, Wilmington, DE, United States, 19803",105.69,Common Stock,0.9569,10.922,USA,USD,"Incyte Corporation, a biopharmaceutical company, focuses on the discovery, development, and commercialization of various therapeutics in the United States. The company offers JAKAFI, a drug for the treatment of myelofibrosis and polycythemia vera cancers; and Iclusig, a kinase inhibitor to treat chronic myeloid leukemia and philadelphia-chromosome positive acute lymphoblastic leukemia. Its clinical stage products include ruxolitinib, a drug in Phase III clinical trial for steroid-refractory chronic graft-versus-host-diseases (GVHD); and Phase II trial for the treatment of essential thrombocythemia and refractory myelofibrosis. In addition, the company engages in the development of itacitinib, which is in Phase III clinical trial to treat nave chronic GVHD; and pemigatinib that is in Phase II clinical trial for treating bladder cancer, cholangiocarcinoma, 8p11 myeloproliferative syndrome, and Tumor agnostic. Further, it is involved in developing Parsaclisib, which is in Phase II clinical trial for follicular lymphoma, marginal zone lymphoma, and mantel cell lymphoma. Additionally, the company develops INCMGA0012 that is in Phase II clinical trials for MSI-high endometrial cancer, merkel cell carcinoma, and anal cancer, as well as in Phase II clinical trials non-small cell lung cancer. It has collaboration agreements with Novartis International Pharmaceutical Ltd.; Eli Lilly and Company; Agenus Inc.; Merus N.V.; Calithera Biosciences, Inc; MacroGenics, Inc.; Merus N.V.; MorphoSys AG; Syros Pharmaceuticals, Inc.; Innovent Biologics, Inc.; Zai Lab Limited; and Cellenkos, Inc., as well as clinical collaborations with MorphoSys AG and Xencor, Inc. to investigate the combination of tafasitamab, plamotamab, and lenalidomide in patients with relapsed or refractory diffuse large B-cell lymphoma, and relapsed or refractory follicular lymphoma. The company was founded in 1991 and is headquartered in Wilmington, Delaware.",-1.552,None,None,0,466960992,1.871,35.2018,7.3181,None,NASDAQ,December,0,0,24.8756,1456,890399000,Biotechnology,2000-09-01,2:1,2020-09-30,19654891520,Incyte Corporation,-0.1265,0.8959,47.639,0,1.343,94.482,8.2209,7.96,-0.1362,1.75,0.125,-0.0596,-0.139,11.31,2456581888,Healthcare,184992567,218996000,4525093,4899980,0.0244,0.02,4.21,INCY,47.639,INCY
0,0,COMP
0,0,DJIA
0,0,SPX
0,0,131.9475,194.1184,239.9,21.49,"396 World Cup buk-ro, Seoul, South Korea, 121-795",0,Common Stock,-0.3739,7.831,USA,USD,"Gravity Co., Ltd. develops, publishes, and distributes online games in South Korea, Japan, the United States, Canada, Taiwan, the Philippines, Thailand, Indonesia, Hong Kong, and internationally. It offers a massively multiplayer online role-playing game, including Ragnarok Online, Requiem, Dragonica, Ragnarok Online II, and Ragnarok Prequel II, as well as Ragnarok Clicker, a Web browser-based role-playing game. The company's mobile games portfolio includes Ragnarok M: Eternal Love; Dawn Break; MR! PORORO; Ragnarok CRUSH; RO Click H5; Blood War M; Ragnarok H5; Ragnarok Tactics; and the Color of Dream Fantasy, Latale. It also provides console games, such as Ragnarok DS for Nintendo DS; Ragnarok: The Princess of Light and Darkness for PlayStation Portable; Ragnarok Odyssey for PlayStation Vita; Double Dragon II for Xbox 360; and Ragnarok Odyssey Ace for PlayStation Vita and PlayStation 3.In addition, the company offers games for IPTV; and markets dolls, stationery, food, and other character-based merchandises, as well as game manuals, monthly magazines, and other publications. Further, it provides system development and maintenance services, as well as system integration services to third parties. As of December 31, 2019, it owned 125 registered domain names. The company was founded in 2000 and is headquartered in Seoul, South Korea. Gravity Co., Ltd. is a subsidiary of GungHo Online Entertainment, Inc.",2.747,None,None,0,None,2.747,0.0191,0.0034,None,NASDAQ,December,0,0,0,0,95178989000,Electronic Gaming & Multimedia,2018-08-28,2:1,2020-09-30,1245798784,"Gravity Co., Ltd",0,0,65.2639,0,0,8.243,8.4391,3.7852,0.1313,1.824,0.699,0.1783,0.3415,0,0,Communication Services,2827160,6948900,9213,8361,0,0,0.1,GRVY,65.2639,GRVY
0,0,7.2902,17.9288,29.28,0.511,"202 6th Street, Castle Rock, CO, United States, 80104",7.5,Common Stock,4.5987,1.24,USA,USD,"Riot Blockchain, Inc., together with its subsidiaries, focuses on building, supporting, and operating Blockchain technologies ecosystem. It is involved in digital currency mining operation, which utilizes specialized computers that generate digital currency primarily bitcoin. The company also holds interests in various activities, including purchasing and selling digital currencies; provides accounting, audit, and verification services for blockchain based assets, such as cryptocurrencies; and develops TessPay, a payments ecosystem for component and sub-component supply chain settlement solution, as well as other blockchain solutions for telecommunications companies. As of December 31, 2019, approximately 7,400 of the miners were installed and operating. The company was formerly known as Bioptix, Inc. and changed its name to Riot Blockchain, Inc. in October 2017. Riot Blockchain, Inc. was founded in 2000 and is based in Castle Rock, Colorado.",-0.603,2017-10-18,None,0,-15441662,-2.227,0,168.5435,2017-10-12,NASDAQ,December,0,0,1000,6,6335000,Software-Application,2016-03-31,1:8,2020-09-30,1385713664,"Riot Blockchain, Inc",-1.4986,None,None,0,3.814,12.425,22.8466,85.0919,-2.5009,0,0.415,-0.1565,-0.4507,0.241,7990000,Technology,49501719,67529904,13070846,11038298,0.1985,0.19,0.34,RIOT,0,RIOT
0,0,NDX
